date_published,origin,destination,price_eur,normal_price_eur,cabin,airline,hours_bookable,outcome,certainty,collector,source_url
2014-10-30,BCN,"Santiago, Chile",268,0,economy,Swiss International Air Lines / LAN Airlines,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-barcelona-chile-ridiculous-212-return/
2015-01-23,BCN,Manila,265,0,economy,Turkish Airlines,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-flights-dublin-philippines-280-return/
2015-04-11,BCN,Sao Paulo,279,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-barcelona-spain-to-sao-paulo-brazil-for-only-202-return/
2015-05-06,BCN,"Iguazu Falls (open-jaw, return to Vienna)",265,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-barcelona-to-iguazu-falls-brazil-returning-to-vienna-for-only-195/
2015-05-17,MAD,Kuala Lumpur,300,0,economy,British Airways,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-madrid-spain-to-kuala-lumpur-malaysia-for-only-215/
2015-05-26,AGP,Montreal,247,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-malaga-spain-to-montreal-canada-for-only-e247-return/
2015-06-04,BCN,Sao Paulo,300,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-barcelona-spain-to-sao-paulo-brazil-for-only-e300-return/
2015-06-14,BCN,Lima,452,0,economy,Delta Air Lines,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-barcelona-spain-to-lima-peru-for-only-e452-return/
2015-06-17,BCN,"Rio de Janeiro (open-jaw, return New York-Berlin)",129,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-barcelona-to-rio-de-janeiro-return-from-new-york-to-berlin-for-e129/
2015-06-17,BCN,"Havana (open-jaw, return Miami-Berlin)",204,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-barcelona-to-havana-cuba-return-from-miami-to-berlin-for-e204/
2015-06-17,BCN,"Panama City (open-jaw, return Miami-Berlin)",155,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-barcelona-to-panama-city-return-from-miami-to-berlin-for-e155/
2015-06-30,MAD,"Sao Paulo (open-jaw, return Santiago or Lima)",237,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-fly-from-madrid-spain-to-south-america-for-only-e237-return/
2015-07-13,MAD,Lima,376,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-fly-from-madrid-spain-to-lima-peru-for-only-e376-return/
2015-07-16,MAD,"Santiago, Chile",354,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-madrid-spain-to-santiago-chile-for-only-e354-return/
2015-09-04,MAD,"Gizan / Riyadh, Saudi Arabia",143,0,business,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-business-class-flights-from-spain-to-saudi-arabia-for-only-109-return/
2015-09-04,MAD,Saudi Arabia (multiple cities),144,0,business,unknown,0,unknown,documented,spanish-sites,https://www.secretflying.com/posts/error-fare-business-class-flights-from-spain-to-saudi-arabia-for-only-109-return/
2015-09-10,BCN,"Honolulu, Hawaii",271,0,economy,unknown,0,unknown,inferred,secretflying-spain,https://www.secretflying.com/posts/error-fare-many-european-cities-to-hawaii-from-only-e271-return/
2015-09-14,MAD,Sao Paulo (GRU),182,0,economy,Turkish Airlines,0,unknown,documented,fly4free-jack,https://www.fly4free.com/flight-deals/europe/error-fare-super-cheap-flight-from-europe-italy-spainportugalfrance-to-brazil-sao-paolo-from-only-e182
2015-10-11,BCN,Shanghai,285,0,economy,Austrian Airlines,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-many-european-cities-to-shanghai-china-from-only-e214-return/
2015-11-07,MAD,Rio de Janeiro / Sao Paulo,178,0,economy,Lufthansa,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-spain-to-brazil-for-only-e228-return/
2015-11-14,BCN,Kuala Lumpur,320,0,economy,British Airways,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-barcelona-spain-to-asia-for-only-226-return/
2015-11-14,BCN,Singapore,323,0,economy,British Airways,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-barcelona-spain-to-asia-for-only-226-return/
2015-12-31,MAD,Phuket (HKT),972,0,business,Etihad / Alitalia,0,unknown,documented,spanish-sites,https://www.secretflying.com/posts/error-fare-business-class-from-spain-to-phuket-thailand-for-only-e972-return/
2015-12-31,Spain (departure city unspecified in source),"Phuket (HKT), Thailand",972,0,business,Etihad / Alitalia,0,unknown,inferred,forums-social,https://www.secretflying.com/posts/error-fare-business-class-from-spain-to-phuket-thailand-for-only-e972-return/
2016-01-19,BCN,Brazil,189,0,economy,Alitalia,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-spain-to-brazil-for-a-crazy-e189-return/
2016-01-19,MAD,Sao Paulo (GRU),180,0,economy,Alitalia / GOL,0,unknown,documented,fly4free-jack,https://www.fly4free.com/flight-deals/europe/mega-error-fare-crazy-cheap-flights-from-spain-to-brazil-for-only-e180/
2016-01-19,BCN,"Sao Paulo, Brazil",189,0,economy,Alitalia,0,unknown,documented,aviation-press,https://www.secretflying.com/posts/error-fare-spain-to-brazil-for-a-crazy-e189-return/
2016-03-04,VLC,Houston (ending Minsk),170,0,economy,Turkish Airlines,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-now-depart-from-spain-to-usa-brazil-or-argentina-for-crazy-cheap/
2016-03-04,VLC,New York (ending Minsk),191,0,economy,Turkish Airlines,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-now-depart-from-spain-to-usa-brazil-or-argentina-for-crazy-cheap/
2016-03-04,BIO,Sao Paulo (ending Minsk),205,0,economy,Turkish Airlines,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-now-depart-from-spain-to-usa-brazil-or-argentina-for-crazy-cheap/
2016-03-04,AGP,Sao Paulo (ending Minsk),206,0,economy,Turkish Airlines,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-now-depart-from-spain-to-usa-brazil-or-argentina-for-crazy-cheap/
2016-03-04,BCN,Sao Paulo (ending Minsk),210,0,economy,Turkish Airlines,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-now-depart-from-spain-to-usa-brazil-or-argentina-for-crazy-cheap/
2016-03-04,MAD,"Sao Paulo (GRU), open-jaw ending Minsk",212,0,economy,Turkish Airlines,0,unknown,documented,fly4free-jack,https://www.secretflying.com/posts/error-fare-now-depart-from-spain-to-usa-brazil-or-argentina-for-crazy-cheap/
2016-03-04,MAD,"Buenos Aires (EZE), ending Minsk",249,0,economy,Turkish Airlines,0,unknown,reported,forums-social,https://www.secretflying.com/posts/error-fare-now-depart-from-spain-to-usa-brazil-or-argentina-for-crazy-cheap/
2016-04-15,MAD,Bogota,284,0,economy,TAM Airlines / Copa Airlines,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-madrid-spain-to-bogota-colombia-for-only-e284-roundtrip/
2016-05-03,BCN,Vancouver,290,0,premium,Air France,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-premium-economy-from-spain-to-canada-from-only-e290-roundtrip/
2016-05-03,BCN,"Canada (Toronto, Montreal, Vancouver, Calgary, Ottawa, Edmonton)",290,0,premium,Air France,0,unknown,documented,spanish-sites,https://www.secretflying.com/posts/error-fare-premium-economy-from-spain-to-canada-from-only-e290-roundtrip/
2016-05-03,BCN,Toronto (YYZ) / Vancouver (YVR) / Montreal (YUL),279,0,premium,Air France,0,unknown,documented,fly4free-jack,https://www.fly4free.com/flight-deals/europe/premium-economy-error-fare-spain-to-many-canadian-cities-just-e279/
2016-05-03,VLC,Montreal (YUL),279,0,economy,Air France,0,unknown,documented,fly4free-jack,https://www.fly4free.com/flight-deals/europe/premium-economy-error-fare-spain-to-many-canadian-cities-just-e279/
2016-06-25,MAD,"San Jose, Costa Rica",695,0,business,British Airways,0,unknown,inferred,secretflying-spain,https://www.secretflying.com/posts/error-fare-business-class-from-spain-to-costa-rica-from-only-e695-roundtrip/
2016-06-25,BCN,"San Jose, Costa Rica (SJO)",695,0,business,British Airways,0,unknown,documented,spanish-sites,https://www.secretflying.com/posts/error-fare-business-class-from-spain-to-costa-rica-from-only-e695-roundtrip/
2016-06-25,ALC,"San Jose, Costa Rica",695,0,business,British Airways,0,unknown,reported,aviation-press,https://www.secretflying.com/posts/error-fare-business-class-from-spain-to-costa-rica-from-only-e695-roundtrip/
2016-06-25,VLC,"San Jose, Costa Rica",695,0,business,British Airways,0,unknown,reported,aviation-press,https://www.secretflying.com/posts/error-fare-business-class-from-spain-to-costa-rica-from-only-e695-roundtrip/
2016-06-30,MAD,Delhi,257,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-madrid-barcelona-spain-india-e257-roundtrip/
2016-06-30,BCN,Delhi,269,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-madrid-barcelona-spain-india-e257-roundtrip/
2016-06-30,MAD,India (Delhi/Mumbai),257,0,economy,unknown,0,unknown,documented,aviation-press,https://www.secretflying.com/posts/error-fare-madrid-barcelona-spain-india-e257-roundtrip/
2016-06-30,BCN,India (Delhi/Mumbai),257,0,economy,unknown,0,unknown,reported,aviation-press,https://www.secretflying.com/posts/error-fare-madrid-barcelona-spain-india-e257-roundtrip/
2016-07-04,BIO,Sao Paulo,201,0,economy,LATAM,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-bilbao-spain-sao-paulo-brazil-e201-roundtrip/
2016-07-04,VGO,"Maputo, Mozambique",386,0,economy,TAP Portugal,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-vigo-spain-mozambique-e386-roundtrip/
2016-07-04,MAD,Delhi (DEL) / Mumbai (BOM) / Thiruvananthapuram,229,0,economy,unknown,0,unknown,documented,fly4free-jack,https://www.fly4free.com/flight-deals/europe/error-fare-spain-to-many-indian-cities-from-only-e229
2016-08-11,AGP,Beijing,292,0,economy,British Airways,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-malaga-spain-to-beijing-china-for-only-e292-roundtrip-london-exit-possible/
2016-10-28,BCN,"Havana (double open-jaw, return Tokyo-Munich)",168,0,economy,unknown,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-double-open-jaw-europe-south-america-returning-japan-e162/
2017-04-28,MAD,Sao Paulo,807,0,business,Azul Brazilian Airlines,0,unknown,documented,secretflying-spain,https://www.secretflying.com/posts/error-fare-business-class-madrid-barcelona-spain-sao-paulo-brazil-e807-roundtrip/
